Micro-Research Family Summary v1.1,,,,,,
Category,Family,TierValues,EffectTrack,Prereq,ImplementationKey,Notes
Woodcutting,Bark-Safe Cuts,"5%, 7%, 10%, 12%, 15%",+{tier%} bark recovery from felled trees.,Woodcutting Skill 2+,MR_WOODCUTTING_BARK_SAFE_CUTS,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Woodcutting,Edge Maintenance,"5%, 7%, 10%, 12%, 15%",+{tier%} axe durability.,Tools Research completed,MR_WOODCUTTING_EDGE_MAINTENANCE,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Woodcutting,Felling Rhythm,"5%, 7%, 10%, 12%, 15%",+{tier%} log cutting speed.,Woodcutting Skill 1+,MR_WOODCUTTING_FELLING_RHYTHM,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Woodcutting,Log Sling,"5%, 7%, 10%, 12%, 15%",-{tier%} stamina drain while carrying logs.,Woodcutting Skill 2+,MR_WOODCUTTING_LOG_SLING,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Woodcutting,Quiet Chop,"5%, 7%, 10%, 12%, 15%",-{tier%} chopping noise radius (safer harvesting).,Woodcutting Skill 3+,MR_WOODCUTTING_QUIET_CHOP,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Mining,Chip Sorting,"5%, 7%, 10%, 12%, 15%",+{tier%} chance to extract a bonus ore chip.,Mining Skill 2+,MR_MINING_CHIP_SORTING,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Mining,Dust Mask Discipline,"5%, 7%, 10%, 12%, 15%",-{tier%} stamina drain in dusty areas.,Mining Skill 4+,MR_MINING_DUST_MASK_DISCIPLINE,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Mining,Pick Angle Drill,"5%, 7%, 10%, 12%, 15%",+{tier%} pickaxe durability.,Tools Research completed,MR_MINING_PICK_ANGLE_DRILL,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Mining,Shoring Habit,"5%, 7%, 10%, 12%, 15%",-{tier%} cave-in risk while mining.,Mining Skill 3+,MR_MINING_SHORING_HABIT,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Mining,Vein Reading,"5%, 7%, 10%, 12%, 15%",+{tier%} mining speed on ore nodes.,Mining Skill 1+,MR_MINING_VEIN_READING,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Hunting,Breath Control,"5%, 7%, 10%, 12%, 15%",+{tier%} ranged accuracy while standing still.,Hunting Skill 1+,MR_HUNTING_BREATH_CONTROL,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Hunting,Cold Hands Warmup,"5%, 7%, 10%, 12%, 15%",-{tier%} weapon sway in cold biomes.,Hunting Skill 4+,MR_HUNTING_COLD_HANDS_WARMUP,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Hunting,Field Dressing,"5%, 7%, 10%, 12%, 15%",+{tier%} meat recovery from animals.,Hunting Skill 3+,MR_HUNTING_FIELD_DRESSING,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Hunting,Hide-Safe Cuts,"5%, 7%, 10%, 12%, 15%",+{tier%} hide recovery from animals.,Hunting Skill 3+,MR_HUNTING_HIDE_SAFE_CUTS,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Hunting,Quiet Footfalls,"5%, 7%, 10%, 12%, 15%",-{tier%} detection chance while stalking.,Hunting Skill 2+,MR_HUNTING_QUIET_FOOTFALLS,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Farming,Clean Rows,"5%, 7%, 10%, 12%, 15%",-{tier%} contamination chance in plots.,Farming Skill 2+,MR_FARMING_CLEAN_ROWS,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Farming,Pest Watching,"5%, 7%, 10%, 12%, 15%",+{tier%} yield stability during bad weather.,Farming Skill 4+,MR_FARMING_PEST_WATCHING,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Farming,Seed Patience,"5%, 7%, 10%, 12%, 15%",+{tier%} crop growth rate.,Farming Skill 1+,MR_FARMING_SEED_PATIENCE,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Farming,Soil Heat Tricks,"5%, 7%, 10%, 12%, 15%",+{tier%} growth rate in cold basins.,Farming Skill 5+,MR_FARMING_SOIL_HEAT_TRICKS,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Farming,Water Timing,"5%, 7%, 10%, 12%, 15%",-{tier%} water used per harvest cycle.,Farming Skill 3+,MR_FARMING_WATER_TIMING,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Engineering,Batch Habit,"5%, 7%, 10%, 12%, 15%",+1 output on select component recipes (where applicable).,Engineer Skill 4+,MR_ENGINEERING_BATCH_HABIT,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Engineering,Measured Cuts,"5%, 7%, 10%, 12%, 15%",+{tier%} crafting speed at Sawbench and Workbench.,Engineer Skill 1+,MR_ENGINEERING_MEASURED_CUTS,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Engineering,Standard Fasteners,"5%, 7%, 10%, 12%, 15%",-{tier%} material cost for fastener-heavy recipes.,Engineer Skill 2+,MR_ENGINEERING_STANDARD_FASTENERS,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Engineering,Tolerance Notes,"5%, 7%, 10%, 12%, 15%",+{tier%} chance to craft ‘clean’ parts (better quality).,Engineer Skill 3+,MR_ENGINEERING_TOLERANCE_NOTES,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Engineering,Tool Layout,"5%, 7%, 10%, 12%, 15%",-{tier%} time to repair items.,Engineer Skill 2+,MR_ENGINEERING_TOOL_LAYOUT,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Research,Better Shortlists,"5%, 7%, 10%, 12%, 15%",+1 reroll per day for micro research options.,Research Skill 3+,MR_RESEARCH_BETTER_SHORTLISTS,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Research,Breakthrough Ritual,"5%, 7%, 10%, 12%, 15%",+{tier%} chance a micro research rolls as a higher tier.,Research Skill 5+,MR_RESEARCH_BREAKTHROUGH_RITUAL,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Research,Component Cataloging,"5%, 7%, 10%, 12%, 15%",-{tier%} research supply cost (rounded down).,Research Skill 4+,MR_RESEARCH_COMPONENT_CATALOGING,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Research,No Stall Routine,"5%, 7%, 10%, 12%, 15%",-{tier%} chance research ‘stalls’.,Research Skill 2+,MR_RESEARCH_NO_STALL_ROUTINE,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Research,Notebook Discipline,"5%, 7%, 10%, 12%, 15%",+{tier%} research progress speed.,Research Skill 1+,MR_RESEARCH_NOTEBOOK_DISCIPLINE,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Combat,Cold Steel,"5%, 7%, 10%, 12%, 15%",+{tier%} melee damage.,Military Skill 4+,MR_COMBAT_COLD_STEEL,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Combat,Controlled Bursts,"5%, 7%, 10%, 12%, 15%",-{tier%} recoil on automatic weapons.,Military Skill 3+,MR_COMBAT_CONTROLLED_BURSTS,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Combat,Cover Habit,"5%, 7%, 10%, 12%, 15%",-{tier%} incoming ranged damage while in cover.,Military Skill 1+,MR_COMBAT_COVER_HABIT,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Combat,Panic Drill,"5%, 7%, 10%, 12%, 15%",+{tier%} panic resistance in close encounters.,Military Skill 3+,MR_COMBAT_PANIC_DRILL,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Combat,Quick Reload,"5%, 7%, 10%, 12%, 15%",-{tier%} reload time.,Military Skill 2+,MR_COMBAT_QUICK_RELOAD,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Logistics,Load Balancing,"5%, 7%, 10%, 12%, 15%",+{tier%} carrying capacity (player + NPCs).,Camp Leadership 3+,MR_LOGISTICS_LOAD_BALANCING,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Logistics,Pack Discipline,"5%, 7%, 10%, 12%, 15%",-{tier%} encumbrance penalties.,Scouting Skill 4+,MR_LOGISTICS_PACK_DISCIPLINE,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Logistics,Route Memory,"5%, 7%, 10%, 12%, 15%",-{tier%} travel time between known POIs.,Scouting Skill 2+,MR_LOGISTICS_ROUTE_MEMORY,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Logistics,Runner Orders,"5%, 7%, 10%, 12%, 15%",+{tier%} NPC travel speed while running.,Camp Leadership 1+,MR_LOGISTICS_RUNNER_ORDERS,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
Logistics,Stamina Coaching,"5%, 7%, 10%, 12%, 15%",-{tier%} stamina drain while sprinting.,Camp Leadership 2+,MR_LOGISTICS_STAMINA_COACHING,Collapsed family summary; full per-tier costs live in MicroResearch_Catalog.
